Sequence name	Lineage	Conflict	Ambiguity score	Scorpio call	Scorpio support	Scorpio conflict	Note	pangolin version	pangoLEARN version
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	A.2	0	1					v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1.356	0	1					v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	A.2						Assigned from designation hash.	v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	A.2	0	1					v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	A.2	0	1					v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1.356						Assigned from designation hash.	v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	A.5	0	1					v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1	0	1					v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1	0	1					v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1.177	0	1					v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1.177	0	1					v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1.177	0	1					v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1.177	0	1					v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1.1.7	0	1	Alpha (B.1.1.7-like)	0.913	0.0435	scorpio call: Alt alleles 21; Ref alleles 1; Amb alleles 1; Oth alleles 0	v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1.1.7	0	1	Alpha (B.1.1.7-like)	0.913	0.0435	scorpio call: Alt alleles 21; Ref alleles 1; Amb alleles 0; Oth alleles 1	v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1.1.7	0	1	Alpha (B.1.1.7-like)	0.9565	0.0435	scorpio call: Alt alleles 22; Ref alleles 1; Amb alleles 0; Oth alleles 0	v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1.1.7	0	1	Alpha (B.1.1.7-like)	0.8696	0.0435	scorpio call: Alt alleles 20; Ref alleles 1; Amb alleles 1; Oth alleles 1	v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1.221						Assigned from designation hash.	v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1.1.7	0	0.999677107	Alpha (B.1.1.7-like)	0.913	0.0435	scorpio call: Alt alleles 21; Ref alleles 1; Amb alleles 0; Oth alleles 1	v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1.177	0	1					v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1.221	0	1					v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1.1.7	0	1	Alpha (B.1.1.7-like)	0.8261	0.087	scorpio call: Alt alleles 19; Ref alleles 2; Amb alleles 1; Oth alleles 1	v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1.177	0	1					v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1.160	0	1					v3.1.14	10/13/2021
"ENA|MN908947|MN908947.3 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome."	B.1	0	1					v3.1.14	10/13/2021
